pr_number,created_date,time_to_first_review_sec,time_to_approval_sec,time_to_merge_sec,was_merged
63127,2025-10-28T03:31:04Z,,,,0
63126,2025-10-28T03:07:06Z,429,0,261,1
63125,2025-10-28T02:58:43Z,,,,0
63124,2025-10-28T02:16:23Z,474,0,0,1
63123,2025-10-28T02:13:13Z,475,0,0,1
63122,2025-10-28T00:12:48Z,604,0,0,1
63120,2025-10-27T21:14:07Z,33,0,0,1
63117,2025-10-27T20:20:53Z,34,0,0,1
63116,2025-10-27T20:18:12Z,46,0,0,1
63111,2025-10-27T19:42:47Z,74,0,0,1
63110,2025-10-27T19:39:20Z,85,0,0,1
63109,2025-10-27T19:36:20Z,82,0,0,1
63103,2025-10-27T18:42:55Z,141,0,0,1
63102,2025-10-27T18:38:51Z,145,0,0,1
63100,2025-10-27T18:35:19Z,148,0,0,1
63098,2025-10-27T18:31:09Z,152,0,0,1
63096,2025-10-27T18:27:14Z,155,0,0,1
63093,2025-10-27T18:02:11Z,1402,0,73,1
63085,2025-10-27T14:46:24Z,750,528,495,1
63084,2025-10-27T14:40:51Z,2458,,,0
63083,2025-10-27T12:40:30Z,,,,0
63082,2025-10-27T12:27:56Z,10,0,19,1
63081,2025-10-27T11:57:35Z,4987,4168,6650,1
63080,2025-10-27T09:24:20Z,,,,0
63079,2025-10-27T09:07:02Z,2280,672,0,1
63078,2025-10-27T09:04:32Z,668,64,6795,1
63077,2025-10-27T00:06:36Z,,,,0
63076,2025-10-26T23:23:13Z,,,,0
63074,2025-10-26T21:51:50Z,,,,0
63073,2025-10-26T20:09:22Z,12723,,,0
63071,2025-10-26T18:38:59Z,2901,0,177,1
63068,2025-10-26T09:30:27Z,242,1199,0,1
63067,2025-10-26T04:54:26Z,368,0,28,1
63066,2025-10-26T04:17:09Z,831,,,0
63065,2025-10-26T04:01:54Z,,,,0
63063,2025-10-25T21:10:31Z,2234,0,0,1
63062,2025-10-25T20:16:28Z,,,,0
63061,2025-10-25T18:45:15Z,,,,0
63060,2025-10-25T17:39:27Z,,,,0
63059,2025-10-25T17:39:22Z,,,,0
63058,2025-10-25T17:27:13Z,,,,0
63056,2025-10-25T17:21:40Z,11,0,49,1
63055,2025-10-25T17:16:25Z,,,,0
63054,2025-10-25T17:15:33Z,,,,0
63053,2025-10-25T16:56:11Z,5703,1275,16,1
63050,2025-10-25T10:55:28Z,65,,,0
63049,2025-10-25T06:33:27Z,25,,,0
63048,2025-10-24T23:06:40Z,12809,0,939,1
63046,2025-10-24T21:12:17Z,114,0,295,1
63045,2025-10-24T21:02:10Z,117,0,309,1
63043,2025-10-24T20:41:14Z,537,0,0,1
63042,2025-10-24T20:16:32Z,162,0,303,1
63038,2025-10-24T18:25:24Z,,,,1
63037,2025-10-24T15:49:54Z,56,1735,2430,1
63036,2025-10-24T13:54:32Z,12,0,17,1
63035,2025-10-24T13:43:32Z,6319,0,916,1
63034,2025-10-24T12:42:00Z,5706,,,0
63031,2025-10-24T10:18:15Z,,,,0
63028,2025-10-24T09:43:38Z,42,0,83,1
63027,2025-10-24T07:10:36Z,19,0,15,1
63026,2025-10-24T06:19:01Z,,,,0
63025,2025-10-24T05:09:15Z,,,,0
63024,2025-10-24T04:38:54Z,,,,0
63023,2025-10-24T02:36:26Z,,,,0
63022,2025-10-24T01:52:53Z,5,0,155,1
63021,2025-10-24T01:26:58Z,437,0,38,1
63020,2025-10-24T01:24:27Z,437,0,41,1
63019,2025-10-24T01:03:52Z,456,0,43,1
63018,2025-10-24T00:54:40Z,460,0,50,1
63017,2025-10-24T00:47:39Z,,,,0
63016,2025-10-23T23:58:16Z,506,0,61,1
63015,2025-10-23T23:53:52Z,506,0,65,1
63006,2025-10-23T20:07:25Z,102,0,656,1
63004,2025-10-23T19:31:58Z,136,0,691,1
63003,2025-10-23T19:27:32Z,,,,0
63001,2025-10-23T19:16:06Z,150,0,680,1
63000,2025-10-23T19:14:57Z,27,0,65,1
62998,2025-10-23T19:08:41Z,152,0,700,1
62997,2025-10-23T19:05:45Z,151,0,709,1
62996,2025-10-23T19:02:52Z,152,0,673,1
62995,2025-10-23T18:57:36Z,156,0,712,1
62994,2025-10-23T18:51:39Z,,,,0
62993,2025-10-23T18:36:05Z,176,0,680,1
62991,2025-10-23T18:28:05Z,,,,0
62990,2025-10-23T18:26:56Z,184,0,683,1
62988,2025-10-23T18:23:34Z,186,0,691,1
62986,2025-10-23T18:18:41Z,190,0,703,1
62985,2025-10-23T18:15:22Z,192,0,688,1
62978,2025-10-23T17:22:00Z,243,0,704,1
62976,2025-10-23T17:16:54Z,241,0,700,1
62969,2025-10-23T14:25:00Z,100,321,265,1
62966,2025-10-23T08:51:34Z,34,0,29,1
62965,2025-10-23T08:26:44Z,95,0,0,1
62964,2025-10-23T06:08:19Z,,,,0
62963,2025-10-23T05:52:18Z,,,,0
62962,2025-10-23T04:26:39Z,427,0,207,1
62961,2025-10-23T01:22:47Z,,,,0
62960,2025-10-23T01:13:26Z,614,0,214,1
62959,2025-10-23T01:02:21Z,623,0,216,1
62958,2025-10-23T00:15:42Z,667,0,219,1
62956,2025-10-22T21:49:17Z,44,0,64,1
62955,2025-10-22T21:43:01Z,46,0,73,1
62954,2025-10-22T21:41:03Z,34,0,10,1
62953,2025-10-22T21:38:44Z,48,0,64,1
62946,2025-10-22T19:14:10Z,61,0,129,1
62945,2025-10-22T19:02:41Z,155,0,45,1
62944,2025-10-22T18:50:02Z,164,0,48,1
62943,2025-10-22T18:32:53Z,177,0,52,1
62942,2025-10-22T18:27:53Z,121,0,112,1
62935,2025-10-22T15:02:41Z,59,0,119,1
62934,2025-10-22T14:52:09Z,,,,0
62932,2025-10-22T12:26:52Z,81,0,40,1
62931,2025-10-22T12:23:50Z,6,0,37,1
62930,2025-10-22T08:47:58Z,1811,8348,3041,1
62929,2025-10-21T23:23:10Z,884,0,20,1
62928,2025-10-21T23:09:23Z,991,2431,299,1
62927,2025-10-21T20:21:40Z,679,0,73,1
62926,2025-10-21T17:40:18Z,173,2129,542,1
62925,2025-10-21T15:54:31Z,2440,12237,4089,1
62924,2025-10-21T15:53:36Z,157,0,633,1
62923,2025-10-21T15:41:37Z,254,0,64,1
62922,2025-10-21T11:22:12Z,,,,0
62921,2025-10-21T08:30:17Z,638,3783,96,1
62920,2025-10-21T06:32:25Z,,,,0
62919,2025-10-21T04:53:14Z,,,,0
62918,2025-10-21T04:04:34Z,,,,0
62917,2025-10-20T20:21:12Z,470,0,0,1
62916,2025-10-20T19:09:02Z,46,0,479,1
62914,2025-10-20T16:52:49Z,128,0,534,1
62913,2025-10-20T15:12:46Z,,,,0
62912,2025-10-20T13:56:52Z,,,,0
62911,2025-10-20T13:35:11Z,,,,0
62910,2025-10-20T13:12:49Z,92,0,1328,1
62909,2025-10-20T12:26:34Z,115,0,68,1
62906,2025-10-20T10:12:19Z,97,,,0
62903,2025-10-20T05:58:52Z,,,,0
62902,2025-10-20T05:21:41Z,,,,0
62901,2025-10-19T22:52:48Z,916,0,33,1
62900,2025-10-19T18:45:58Z,693,0,134,1
62898,2025-10-18T19:38:21Z,288,0,900,1
62897,2025-10-18T19:20:01Z,,,,0
62894,2025-10-18T11:22:42Z,2863,0,2517,1
62893,2025-10-18T10:28:42Z,,,,0
62891,2025-10-18T08:57:34Z,27428,,,0
62890,2025-10-17T23:32:55Z,19217,0,385,1
62888,2025-10-17T19:58:30Z,92,0,82,1
62887,2025-10-17T19:32:23Z,70,0,133,1
62886,2025-10-17T18:52:05Z,,,,0
62883,2025-10-17T18:04:19Z,210,0,81,1
62882,2025-10-17T17:22:22Z,2,,,0
62880,2025-10-17T16:55:34Z,285,0,76,1
62879,2025-10-17T16:51:21Z,26,0,340,1
62877,2025-10-17T14:09:12Z,36,0,74,1
62876,2025-10-17T13:20:04Z,54,17405,0,1
62873,2025-10-17T11:08:16Z,41,72,183,1
62871,2025-10-17T08:05:10Z,127,0,35,1
62870,2025-10-17T06:59:11Z,193,0,355,1
62867,2025-10-17T02:17:13Z,223,0,0,1
62866,2025-10-17T00:03:02Z,512,,,0
62864,2025-10-16T18:57:36Z,,,,0
62860,2025-10-16T17:03:10Z,15,,,0
62859,2025-10-16T16:54:53Z,915,,,0
62858,2025-10-16T16:33:23Z,1242,0,1660,1
62855,2025-10-16T15:29:40Z,173,0,149,1
62854,2025-10-16T13:43:51Z,261,,,0
62853,2025-10-16T11:18:54Z,15945,0,135,1
62852,2025-10-16T06:18:18Z,389,0,247,1
62851,2025-10-16T03:49:06Z,201,0,69,1
62850,2025-10-16T03:17:59Z,,,,0
62849,2025-10-16T00:33:46Z,1200,,,0
62848,2025-10-16T00:01:29Z,780,0,0,1
62847,2025-10-15T21:58:11Z,22138,0,0,1
62846,2025-10-15T19:50:44Z,118,0,343,1
62845,2025-10-15T19:17:06Z,188,0,26,1
62844,2025-10-15T19:05:15Z,5,0,55,1
62842,2025-10-15T18:21:39Z,1,243,60,1
