issue_id,issue_number,title,state,created_date,closed_date,contributors
MDU6SXNzdWU2NjcyOTc1MDk=,29517,"Fatal signal 11 (SIGSEGV), code 2 (SEGV_ACCERR)",CLOSED,2020-07-28T18:58:33Z,2023-09-19T05:13:12Z,
I_kwDOAbrxp86tW9Fa,49935,[BUG] mixBlendMode inside a ScrollView doesnt work,OPEN,2025-03-10T21:31:57Z,,
MDU6SXNzdWU5NjY0MDkyODI=,32004,[a11y] Accessibility for nested text components,OPEN,2021-08-11T10:18:48Z,,
MDU6SXNzdWU4NTY0NzA5NDk=,31346,Add AccessibilityInfo API for isSwitchDeviceEnabled and isSpeakScreenEnabled,CLOSED,2021-04-13T00:56:26Z,2024-01-04T05:40:53Z,
I_kwDOAbrxp85Lc420,33981,Error: Unable to resolve module 'stream',CLOSED,2022-06-09T09:37:20Z,2022-06-24T19:51:37Z,
I_kwDOAbrxp86s4Wv3,49867,Facing [runtime not ready]: Error: No Firebase App '[DEFAULT]' has been created - call firebase.initializeApp(),CLOSED,2025-03-06T13:42:58Z,2025-03-06T19:05:37Z,
I_kwDOAbrxp86ibO9i,48172,Could not determine the dependencies of task ':app:compileDebugJavaWithJavac'. [Android],CLOSED,2024-12-08T08:25:17Z,2024-12-09T11:26:47Z,
I_kwDOAbrxp86ySL8O,50684,[0.77] `getBoundingClientRect` TypeScript type definition missing on View with New Architecture,OPEN,2025-04-13T07:53:31Z,,
I_kwDOAbrxp85l2RFW,37425,Unrecognized font family,CLOSED,2023-05-13T19:48:19Z,2024-01-12T12:35:27Z,
I_kwDOAbrxp86Pq9PM,45453,RN Alert button sometimes renders in the upper-left corner of the screen (iOS),OPEN,2024-07-16T07:17:49Z,,
I_kwDOAbrxp86mcqHc,48727,Image nested In Text with lineHeight specified overflows container,OPEN,2025-01-16T12:01:33Z,,
I_kwDOAbrxp86gcLqR,47933,React Native 0.76.3 Eslint Parser Issue with Flow,OPEN,2024-11-25T18:09:09Z,,
I_kwDOAbrxp860v3yB,51034,Android Limitations,CLOSED,2025-04-30T20:33:09Z,2025-05-01T09:03:55Z,
I_kwDOAbrxp85akvq9,35774,iOS Accessibility Value Out of Sync,OPEN,2023-01-04T21:16:31Z,,
I_kwDOAbrxp8491Q5f,32483,RCT-Folly/folly/portability/Time.h:52:17: typedef redefinition with different types ('uint8_t' (aka 'unsigned char') vs 'enum clockid_t'),CLOSED,2021-10-27T12:40:33Z,2023-08-30T06:27:36Z,
I_kwDOAbrxp860vHjO,51032,Pressable onPress not working inside horizontal FlatList when RTL is enabled,OPEN,2025-04-30T19:19:48Z,,
I_kwDOAbrxp86jAywR,48228,i am upgrading react native version 0.75.2 T0 0.76.5 But i am gtting issue unable to run project / I am using javaScript,CLOSED,2024-12-12T05:40:32Z,2024-12-12T13:27:47Z,
I_kwDOAbrxp86uaRXj,50078,Using useDeferredValue and Suspense unexpectedly shows fallback in ios/android but correctly shows stale state in web,OPEN,2025-03-17T19:13:19Z,,
I_kwDOAbrxp86tZQqv,49943,RangeError: Invalid string length,CLOSED,2025-03-11T04:32:34Z,2025-03-20T14:39:54Z,
I_kwDOAbrxp86z_Y1F,50934,Support minimumFontScale in paragraphAttributes,CLOSED,2025-04-25T11:08:11Z,2025-04-30T12:33:44Z,
I_kwDOAbrxp86ecexd,47606,RN v0.76.1 | Issue with codegenartifactschema for brownfield application,CLOSED,2024-11-14T09:55:59Z,2024-11-14T10:36:41Z,
I_kwDOAbrxp86fD_Ux,47666,[CXX1429] error when building with cmake,CLOSED,2024-11-18T13:47:13Z,2024-11-18T16:41:21Z,
I_kwDOAbrxp860WoNh,50968,Android: multiline TextInput does not grow on first newline,CLOSED,2025-04-28T18:41:20Z,2025-04-28T18:52:23Z,
I_kwDOAbrxp86NoWvr,45192,`KeyboardAvoidingView` infinitely updates on Android,OPEN,2024-06-26T20:02:25Z,,
I_kwDOAbrxp860cAmC,50972,Getting Error - Unable to find module redbox with React Native version 0.79.0,CLOSED,2025-04-29T06:43:32Z,2025-04-30T07:41:57Z,
I_kwDOAbrxp860nckU,51009,No,CLOSED,2025-04-30T06:11:30Z,2025-04-30T06:11:49Z,
I_kwDOAbrxp86mZvEI,48720,Dynamic styles with StyleSheet get an type error?,CLOSED,2025-01-16T05:50:06Z,2025-04-30T05:35:33Z,
I_kwDOAbrxp86kiu0Q,48398,[IOS] ScrollView with Textinput / TouchalbeOpacity causes weird scroll position behavior,CLOSED,2024-12-27T08:19:52Z,2025-04-30T01:09:16Z,
I_kwDOAbrxp860jSlD,50999,React Native breaks in basic monorepo setup,CLOSED,2025-04-29T18:15:03Z,2025-04-29T20:30:25Z,
I_kwDOAbrxp86zymJT,50892,Unimplemented component: <RNSScreenContentWrapper> on iOS when using @react-navigation/native-stack with New Architecture enabled,CLOSED,2025-04-24T07:58:28Z,2025-04-24T13:57:47Z,
I_kwDOAbrxp85h84S6,36675,onTextLayout returns different values for Android and iOS,CLOSED,2023-03-28T07:17:53Z,2023-03-28T09:54:59Z,
MDU6SXNzdWU4MTU2MzQwNDc=,31045,"""NETWORK ERROR"" when making API call in react-native Android, while works in iOS",OPEN,2021-02-24T16:22:05Z,,
I_kwDOAbrxp860WqnO,50969,Docstring typo,CLOSED,2025-04-28T18:45:22Z,2025-04-29T11:05:01Z,
MDU6SXNzdWU2MzE1MjMzNTc=,29068,TextInput with TextAlign on iOS does not add ellipsis instead wraps,OPEN,2020-06-05T11:33:12Z,,
I_kwDOAbrxp86tWgWm,49933,iOS - TextInput shows password suggestion in the field above when secureTextEntry is enabled,CLOSED,2025-03-10T20:33:36Z,2025-03-20T14:16:17Z,
I_kwDOAbrxp86k0G5Z,48421,Warning: Error: Exception in HostFunction: Loss of precision during arithmetic conversion: (long) 0.01,OPEN,2025-01-01T15:17:14Z,,
MDU6SXNzdWU5MDc4MTE4NDg=,31638,"My app is working fine in local on both simulator and physical devices. But, app can't launch when put to the TestFlight.",CLOSED,2021-06-01T02:26:30Z,2024-06-27T05:01:21Z,
